"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Influenza","Influenza activity","Intensity","-","2004-W40","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W41","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W42","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W43","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W44","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W45","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W46","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W47","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W48","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W49","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W50","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W51","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2004-W52","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W01","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W02","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W03","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W04","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W05","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W06","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W07","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W08","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W09","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W10","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W11","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W12","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W13","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W14","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W15","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W16","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W17","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W18","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W19","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W20","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W21","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W22","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W23","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W24","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W25","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W26","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W27","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W28","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W29","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W30","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W31","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W32","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W33","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W34","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W35","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W36","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W37","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W38","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W39","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W40","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W41","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W42","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W43","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W44","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W45","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W46","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W47","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W48","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W49","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W50","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2005-W51","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W01","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W02","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W03","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W04","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W05","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W06","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W07","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W08","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W09","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W10","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W11","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W12","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W13","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W14","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W15","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W16","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W17","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W18","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W19","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W20","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W21","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W22","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W23","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W24","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W25","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W26","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W27","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W28","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W29","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W30","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W31","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W32","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W33","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W34","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W35","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W36","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W37","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W38","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W39","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W40","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W41","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W42","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W43","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W44","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W45","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W46","PL","Poland",-,""
