PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2020,40,1.08369,1.0713,2460,5106,X,4710,2370,1847,16493,3318,1539527
National,X,2020,41,1.20798,1.18587,2553,6024,X,5248,3006,2325,19156,3351,1615360
National,X,2020,42,1.10574,1.08922,2305,5664,X,4611,2548,2105,17233,3335,1582135
National,X,2020,43,1.18827,1.14924,2445,5849,X,4855,2826,2175,18150,3356,1579306
National,X,2020,44,1.25309,1.18999,2517,6092,X,4929,2770,2299,18607,3451,1563623
National,X,2020,45,1.44223,1.33645,2727,7082,X,5851,3283,2458,21401,3453,1601333
National,X,2020,46,1.48489,1.37774,2775,7675,X,5546,3732,2875,22603,3423,1640587
National,X,2020,47,1.55053,1.42728,2689,7813,X,5346,3953,2894,22695,3362,1590088
National,X,2020,48,1.60937,1.4964,2483,7085,X,4579,3958,3192,21297,3366,1423220
National,X,2020,49,1.56746,1.44898,2603,7689,X,4868,3977,3133,22270,3368,1536943
National,X,2020,50,1.52214,1.43002,2566,7523,X,4721,4070,3323,22203,3386,1552636
National,X,2020,51,1.50787,1.39865,2482,7120,X,4278,3844,3141,20865,3325,1491798
National,X,2020,52,1.55631,1.45757,2323,6628,X,3563,3925,3401,19840,3329,1361170
National,X,2020,53,1.5924,1.53951,2585,7726,X,3934,4520,3668,22433,3307,1457151
National,X,2021,1,1.4767,1.43551,2413,7970,X,4546,4358,3415,22702,3336,1581455
National,X,2021,2,1.29451,1.26458,2380,6398,X,4055,3524,2829,19186,3313,1517183
National,X,2021,3,1.2526,1.21119,2566,5874,X,4049,3306,2542,18337,3338,1513962
National,X,2021,4,1.10043,1.1221,2558,5341,X,3937,2807,2234,16877,3344,1504061
National,X,2021,5,1.17828,1.08335,2632,4981,X,3997,2509,1914,16033,3310,1479946
National,X,2021,6,1.02473,0.977093,2554,4088,X,3726,2125,1561,14054,3260,1438348
National,X,2021,7,0.990461,0.909742,2317,3703,X,3143,1916,1488,12567,3261,1381381
National,X,2021,8,0.862614,0.861322,2534,3811,X,3525,1872,1502,13244,3271,1537636
National,X,2021,9,0.839059,0.846722,2756,3500,X,3528,1790,1339,12913,3258,1525058
National,X,2021,10,0.895958,0.908885,3203,3754,X,3778,1888,1356,13979,3254,1538038
National,X,2021,11,0.910926,0.941625,3478,3895,X,3796,1880,1340,14389,3177,1528103
National,X,2021,12,0.946945,0.972185,3734,4165,X,3818,2005,1277,14999,3066,1542813
National,X,2021,13,0.963716,1.01376,3955,4283,X,3843,2037,1189,15307,3027,1509928
