REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.26589,1.2802,3849,2488,X,4556,1071,875,12839,2220,1002892
National,X,2017,41,1.30479,1.33123,4118,2676,X,4453,1073,947,13267,2245,996595
National,X,2017,42,1.34075,1.40786,4408,2805,X,4993,1139,974,14319,2266,1017076
National,X,2017,43,1.51674,1.5722,5006,2922,X,5531,1324,1049,15832,2266,1006998
National,X,2017,44,1.74583,1.70326,5219,3289,X,6134,1365,1062,17069,2222,1002140
National,X,2017,45,1.88708,1.86636,6126,3609,X,6671,1522,1129,19057,2288,1021079
National,X,2017,46,2.05923,2.07647,6880,4243,X,7577,1805,1387,21892,2296,1054290
National,X,2017,47,2.27971,2.33593,6945,3844,X,5875,1707,1445,19816,2271,848314
National,X,2017,48,2.28379,2.24637,7008,5235,X,7474,2206,1829,23752,2279,1057350
National,X,2017,49,2.58278,2.49504,7229,5046,X,8488,2335,1857,24955,2272,1000183
National,X,2017,50,3.36558,3.2005,8285,6671,X,11259,2955,2332,31502,2262,984283
National,X,2017,51,4.73117,4.43807,10447,9856,X,14166,4580,3733,42782,2211,963978
National,X,2017,52,5.70943,5.46361,11335,11507,X,11540,5754,5119,45255,2132,828299
National,X,2018,1,5.74658,5.35765,9410,13383,X,11717,6871,5888,47269,2243,882271
National,X,2018,2,5.89207,5.52437,10053,15380,X,17357,7772,6199,56761,2257,1027466
National,X,2018,3,6.51759,6.34528,11997,16012,X,21897,7569,5561,63036,2286,993431
National,X,2018,4,7.16338,7.01811,13408,18317,X,30625,8911,6065,77326,2288,1101807
National,X,2018,5,7.52133,7.7809,14844,19086,X,37200,8915,5940,85985,2275,1105078
National,X,2018,6,7.38748,7.76939,15192,19527,X,38606,8626,5874,87825,2299,1130397
National,X,2018,7,6.44688,6.81176,13365,17203,X,32124,8079,5439,76210,2227,1118800
National,X,2018,8,4.95881,5.15749,10154,12437,X,20450,5805,4179,53025,2272,1028116
National,X,2018,9,3.68612,3.55945,7208,8485,X,13392,4104,2875,36064,2208,1013191
National,X,2018,10,3.18626,3.00518,6368,6485,X,10850,3138,2292,29133,2214,969427
National,X,2018,11,2.76894,2.73038,5588,5928,X,9468,2822,2132,25938,2201,949978
